Index,Node1,Node2
1,"Amrozi accused his brother, whom he called ""the witness"", of deliberately distorting his evidence.","Amrozi claimed his brother, known as ""the witness"", had intentionally altered his testimony."
1,"Amrozi accused his brother, whom he called ""the witness"", of deliberately distorting his evidence.","Amrozi accused his brother, whom he referred to as ""the witness"", of falsifying his account."
1,"Amrozi accused his brother, whom he called ""the witness"", of deliberately distorting his evidence.","Amrozi stated that his brother, who he called ""the witness"", had manipulated his statement."
1,"Amrozi accused his brother, whom he called ""the witness"", of deliberately distorting his evidence.","Amrozi alleged that his brother, whom he dubbed ""the witness"", had distorted his evidence on purpose."
1,"Amrozi accused his brother, whom he called ""the witness"", of deliberately distorting his evidence.","Amrozi charged his brother, who he called ""the witness"", with intentionally altering his testimony."
1,"Referring to him as only ""the witness"", Amrozi accused his brother of deliberately distorting his evidence.","The witness referred to him as such, Amrozi accused his brother of willfully misrepresenting the facts."
1,"Referring to him as only ""the witness"", Amrozi accused his brother of deliberately distorting his evidence.","Amrozi claimed his brother was distorting the truth, referring to him solely as ""the witness""."
1,"Referring to him as only ""the witness"", Amrozi accused his brother of deliberately distorting his evidence.","Accusing his brother of perverting the truth, Amrozi referred to the man as ""the witness"" only."
1,"Referring to him as only ""the witness"", Amrozi accused his brother of deliberately distorting his evidence.","Amrozi accused his brother of corrupting the evidence, addressing him as ""the witness"" exclusively."
1,"Referring to him as only ""the witness"", Amrozi accused his brother of deliberately distorting his evidence.","Referring to the man as ""the witness"", Amrozi charged his brother with intentionally falsifying the testimony."
1,Yucaipa owned Dominick's before selling the chain to Safeway in 1998 for $2.5 billion.,"In 1998, Safeway acquired Dominick's from Yucaipa for $2.5 billion."
1,Yucaipa owned Dominick's before selling the chain to Safeway in 1998 for $2.5 billion.,Yucaipa sold its stake in Dominick's to Safeway in 1998 for a significant sum.
1,Yucaipa owned Dominick's before selling the chain to Safeway in 1998 for $2.5 billion.,Safeway purchased Dominick's from Yucaipa in a deal worth $2.5 billion in 1998.
1,Yucaipa owned Dominick's before selling the chain to Safeway in 1998 for $2.5 billion.,"Prior to its sale, Yucaipa had ownership of Dominick's, which was later acquired by Safeway for $2.5 billion in 1998."
1,Yucaipa owned Dominick's before selling the chain to Safeway in 1998 for $2.5 billion.,Yucaipa disposed of Dominick's to Safeway in 1998 in exchange for $2.5 billion.
1,Yucaipa bought Dominick's in 1995 for $693 million and sold it to Safeway for $1.8 billion in 1998.,"In 1995, Yucaipa acquired Dominick's for approximately $693 million."
1,Yucaipa bought Dominick's in 1995 for $693 million and sold it to Safeway for $1.8 billion in 1998.,Yucaipa purchased Dominick's in 1995 for a substantial sum of $693 million.
1,Yucaipa bought Dominick's in 1995 for $693 million and sold it to Safeway for $1.8 billion in 1998.,Yucaipa acquired Dominick's in 1995 and later sold the company to Safeway in 1998.
1,Yucaipa bought Dominick's in 1995 for $693 million and sold it to Safeway for $1.8 billion in 1998.,Yucaipa's purchase of Dominick's in 1995 marked a significant transaction worth around $693 million.
1,Yucaipa bought Dominick's in 1995 for $693 million and sold it to Safeway for $1.8 billion in 1998.,"In 1995, Yucaipa made a major acquisition, purchasing Dominick's for $693 million, only to sell it to Safeway three years later."
1,"They had published an advertisement on the Internet on June 10, offering the cargo for sale, he added.",He mentioned that they had put up an online ad on June 10 to sell the cargo.
1,"They had published an advertisement on the Internet on June 10, offering the cargo for sale, he added.","They had put the cargo up for sale by posting an advertisement on the Internet on June 10, he explained."
1,"They had published an advertisement on the Internet on June 10, offering the cargo for sale, he added.","On June 10, an advertisement was posted on the Internet to sell the cargo as per him."
1,"They had published an advertisement on the Internet on June 10, offering the cargo for sale, he added.",He stated that an advertisement had been published on the Internet on June 10 to sell the cargo.
1,"They had published an advertisement on the Internet on June 10, offering the cargo for sale, he added.","He added that on June 10, an advertisement was placed on the Internet to sell the cargo."
1,"On June 10, the ship's owners had published an advertisement on the Internet, offering the explosives for sale.",The ship's owners posted an advertisement online on June 10th announcing the explosives for sale.
1,"On June 10, the ship's owners had published an advertisement on the Internet, offering the explosives for sale.","On June 10, the ship's owners placed an online advert offering explosives for sale."
1,"On June 10, the ship's owners had published an advertisement on the Internet, offering the explosives for sale.","An advertisement was posted on the Internet by the ship's owners on June 10, promoting explosives for sale."
1,"On June 10, the ship's owners had published an advertisement on the Internet, offering the explosives for sale.","On June 10, the ship's owners ran an online ad advertising the explosives for sale."
1,"On June 10, the ship's owners had published an advertisement on the Internet, offering the explosives for sale.","The ship's owners had published a public notice on the Internet on June 10, indicating their willingness to sell explosives."
1,"Around 0335 GMT, Tab shares were up 19 cents, or 4.4%, at A$4.56, having earlier set a record high of A$4.57.","At approximately 0335 GMT, the price of Tab shares increased by 19 cents, amounting to a 4.4% rise, reaching A$4.56, after previously achieving a record-breaking high of A$4.57."
1,"Around 0335 GMT, Tab shares were up 19 cents, or 4.4%, at A$4.56, having earlier set a record high of A$4.57.","Tab shares experienced a significant surge at 0335 GMT, with their value rising by 19 cents, or 4.4%, to A$4.56, following an earlier peak of A$4.57."
1,"Around 0335 GMT, Tab shares were up 19 cents, or 4.4%, at A$4.56, having earlier set a record high of A$4.57.","At 0335 GMT, Tab shares saw a notable increase, trading at A$4.56, a 4.4% gain from earlier, and having earlier reached a record high of A$4.57."
1,"Around 0335 GMT, Tab shares were up 19 cents, or 4.4%, at A$4.56, having earlier set a record high of A$4.57.","Around 0335 GMT, the price of Tab shares had climbed by 19 cents, or 4.4%, to A$4.56, after setting an all-time high of A$4.57."
1,"Around 0335 GMT, Tab shares were up 19 cents, or 4.4%, at A$4.56, having earlier set a record high of A$4.57.","The value of Tab shares experienced a notable boost at 0335 GMT, jumping 4.4% to A$4.56, having previously set a record high of A$4.57."
1,"Tab shares jumped 20 cents, or 4.6%, to set a record closing high at A$4.57.","Tab shares surged 20 cents, a 4.6% increase, to reach a record close at A$4.57."
1,"Tab shares jumped 20 cents, or 4.6%, to set a record closing high at A$4.57.","The price of Tab shares rose 20 cents, or 4.6%, to an all-time high of A$4.57."
1,"Tab shares jumped 20 cents, or 4.6%, to set a record closing high at A$4.57.","Tab shares experienced a 4.6% gain of 20 cents, peaking at A$4.57."
1,"Tab shares jumped 20 cents, or 4.6%, to set a record closing high at A$4.57.","Tab stock touched a record closing price of A$4.57 after a 20-cent, 4.6% jump."
1,"Tab shares jumped 20 cents, or 4.6%, to set a record closing high at A$4.57.","Tab shares achieved a record high close of A$4.57, with a 4.6% increase of 20 cents."
1,"The stock rose $2.11, or about 11 percent, to close Friday at $21.51 on the New York Stock Exchange.","On the New York Stock Exchange, the stock surged to a close at $21.51, representing an 11 percent increase from the day before."
1,"The stock rose $2.11, or about 11 percent, to close Friday at $21.51 on the New York Stock Exchange.","The stock market experienced a notable gain on Friday, closing at $21.51, up about 11 percent."
1,"The stock rose $2.11, or about 11 percent, to close Friday at $21.51 on the New York Stock Exchange.","Friday's trading session ended with the stock reaching $21.51, marking an 11 percent rise from its previous value."
1,"The stock rose $2.11, or about 11 percent, to close Friday at $21.51 on the New York Stock Exchange.","The New York Stock Exchange saw the stock price escalate to $21.51 on Friday, with a corresponding increase of 11 percent."
1,"The stock rose $2.11, or about 11 percent, to close Friday at $21.51 on the New York Stock Exchange.","Friday's stock market close saw the price of the stock spike to $21.51, a gain of approximately 11 percent."
1,PG&E Corp. shares jumped $1.63 or 8 percent to $21.03 on the New York Stock Exchange on Friday.,PG&E Corp. stock prices surged by 8 percent on the New York Stock Exchange on Friday.
1,PG&E Corp. shares jumped $1.63 or 8 percent to $21.03 on the New York Stock Exchange on Friday.,"On Friday, PG&E Corp. shares experienced a significant increase of 8 percent."
1,PG&E Corp. shares jumped $1.63 or 8 percent to $21.03 on the New York Stock Exchange on Friday.,PG&E Corp.'s stock value rose by 8 percent on the New York Stock Exchange on Friday to $21.03.
1,PG&E Corp. shares jumped $1.63 or 8 percent to $21.03 on the New York Stock Exchange on Friday.,The shares of PG&E Corp. rose 8 percent to $21.03 on the New York Stock Exchange on Friday.
1,PG&E Corp. shares jumped $1.63 or 8 percent to $21.03 on the New York Stock Exchange on Friday.,"On Friday, PG&E Corp. stock prices jumped by 8 percent on the New York Stock Exchange."
1,Revenue in the first quarter of the year dropped 15 percent from the same period a year earlier.,Revenue for the first quarter was 15 percent lower compared to the same time last year.
1,Revenue in the first quarter of the year dropped 15 percent from the same period a year earlier.,The first quarter saw a decline of 15 percent in revenue compared to the previous year's first quarter.
1,Revenue in the first quarter of the year dropped 15 percent from the same period a year earlier.,Revenue decreased by 15 percent during the initial quarter of the year relative to the same period in the prior year.
1,Revenue in the first quarter of the year dropped 15 percent from the same period a year earlier.,There was a 15 percent drop in revenue during the first quarter of the year as opposed to the same quarter in the previous year.
1,Revenue in the first quarter of the year dropped 15 percent from the same period a year earlier.,The first quarter's revenue was 15 percent less than that of the same quarter in the preceding year.
1,"With the scandal hanging over Stewart's company, revenue the first quarter of the year dropped 15 percent from the same period a year earlier.",Stewart's company saw a 15 percent decline in revenue during the first quarter of the year amidst ongoing scandal.
1,"With the scandal hanging over Stewart's company, revenue the first quarter of the year dropped 15 percent from the same period a year earlier.",The scandal surrounding Stewart's company led to a significant decline in revenue for the first quarter.
1,"With the scandal hanging over Stewart's company, revenue the first quarter of the year dropped 15 percent from the same period a year earlier.",Revenue plummeted 15 percent for Stewart's company in the first quarter as the scandal continued to cast a shadow.
1,"With the scandal hanging over Stewart's company, revenue the first quarter of the year dropped 15 percent from the same period a year earlier.",Stewart's company experienced a substantial drop in revenue during the first quarter due to the cloud of scandal.
